Developer,Total_Sales,Avg_Critic_Score,Avg_User_Score,Title_Count
"Lucasarts, Krome Studios",1.11,57.75,6.45,1
"Ea Redwood Shores, Ea Salt Lake",1.09,66.0,4.4,1
"Mad Doc Software, Rockstar Vancouver",1.09,76.0,7.9,1
Brownie Brown,1.09,69.0,7.43,3
Sega Racing Studio,1.09,75.33,7.27,1
Triumph Studios,1.09,76.6,7.86,2
Ubisoft Shanghai/Paris,1.08,58.0,6.0,1
Shin'En,1.08,67.6,7.67,10
Inxile Entertainment,1.08,67.67,6.96,4
Compile Heart,1.07,63.73,7.11,10
Silicon Studio,1.06,79.0,7.7,2
Hypnotix,1.06,67.57,7.66,5
Blue Byte,1.06,67.71,6.46,6
Sega Am3,1.05,80.0,7.9,1
Kcek,1.05,84.5,8.0,2
Evolution Games,1.05,62.0,7.05,1
"Valuewave Co.,Ltd.",1.05,65.0,6.9,3
Overkill Software,1.05,76.0,5.3,1
Eugen Systems,1.05,75.25,7.38,2
Access Games,1.05,63.4,7.36,5
Supervillain Studios,1.04,72.5,7.85,4
Takara Tomy,1.04,62.71,6.77,7
"Electronic Arts, Ea Redwood Shores",1.03,71.0,7.7,1
"Tantalus Interactive, Tantatus, Nintendo",1.03,86.0,8.4,1
Iron Galaxy Studios,1.03,71.0,6.62,4
"Sega, Dimps Corporation",1.02,66.0,6.9,1
Mistwalker,1.02,74.5,7.9,2
Ubisoft Casablanca,1.02,50.75,5.9,4
Eighting/Raizing,1.02,72.25,8.47,4
Venom Games,1.02,67.6,7.06,4
Mumbojumbo,1.02,65.2,7.5,9
Hyde,1.01,71.0,7.5,1
Thq Digital Studio Phoenix,1.01,62.0,6.95,1
Psygnosis,1.01,91.0,8.33,3
Redlynx,1.01,76.5,7.17,2
Cokem Interactive,1.01,71.0,7.5,6
Hotgen,1.01,62.43,6.94,7
Koei Tecmo Games,1.01,69.4,7.6,8
Deibus Studios,1.0,52.5,6.17,3
Midway Studios - Los Angeles,1.0,77.5,7.6,1
Humongous Entertainment,1.0,66.0,7.77,4
Arcade Moon,1.0,61.0,6.8,3
2K Games,1.0,72.5,6.18,4
Route 1 Games,0.99,71.0,7.5,1
Full-Fat,0.99,66.0,7.54,7
Sega Studios San Francisco,0.99,45.33,6.2,1
Black Isle Studios,0.98,82.25,8.53,3
Red Tribe,0.98,43.67,5.17,3
David A. Palmer Productions,0.97,63.33,7.0,3
Jgi Entertainment,0.97,70.5,8.6,2
Illusion Softworks,0.97,73.0,8.13,1
Genepool,0.97,59.33,6.73,1
Ratbag,0.97,63.0,7.9,3
Mastiff,0.97,71.0,7.5,5
"Vicarious Visions, Neversoft Entertainment",0.96,77.0,7.5,1
Virtucraft,0.96,58.0,7.5,3
Ubisoft Milan,0.96,63.5,7.05,4
Pyramid,0.96,65.5,6.05,2
Adrenium,0.96,58.25,7.53,3
Ubisoft Vancouver,0.96,52.0,7.42,3
Superbot Entertainment,0.95,74.0,7.3,1
Rockstar Vancouver,0.94,87.0,9.1,1
Kalypso,0.94,61.57,6.17,6
Fuse Games Limited,0.94,70.5,6.4,2
"High Voltage Software, Backbone Entertainment",0.94,37.25,2.9,1
"Terminal Reality, 4Mm Games",0.94,71.33,6.4,1
"Square Enix, H.A.N.D. Inc.",0.93,66.0,7.0,1
"Shift, Bandai Namco Games",0.93,70.67,8.17,2
Awe Games,0.93,53.0,6.45,3
Guerilla Cambridge,0.91,78.5,8.4,2
Destination Software,0.91,51.17,6.52,5
Bullets,0.9,70.67,7.5,3
Shift,0.9,65.75,7.28,3
Marvelous Inc.,0.9,70.38,7.62,6
Appaloosa Interactive,0.89,58.0,7.4,2
Brain Toys,0.89,70.0,7.33,3
Starfish,0.89,62.38,7.5,8
Sci,0.88,64.0,7.8,2
Digital Anvil,0.88,81.0,8.4,2
Bam Entertainment,0.88,54.5,6.47,3
"Human Soft, Ivolgamus",0.88,71.0,7.5,1
Dreamcatcher,0.88,64.23,6.63,13
"Media Molecule, United Front Games",0.87,73.0,6.9,1
Cinegroupe,0.87,71.0,7.75,2
Totally Games,0.87,64.25,7.53,2
Scej,0.87,69.33,7.4,3
Cygames,0.86,71.0,7.5,1
Toolbox Design,0.86,53.0,5.8,1
Tomy Corporation,0.86,67.67,7.9,3
Suzak,0.86,65.67,7.63,3
Vu Games,0.86,49.33,7.4,3
Storm City Games,0.85,57.0,7.5,7
T&E Soft,0.85,72.0,7.83,3
Pyro Studios,0.85,62.9,7.62,6
Sandlot,0.84,69.86,7.97,6
Eidos Interactive,0.84,73.5,7.53,4
"Treyarch, Sledgehammer Games",0.82,70.0,1.8,1
Inevitable Entertainment,0.82,62.0,7.8,2
"Ubisoft, Sensory Sweep",0.82,67.67,7.23,3
"Harmonix Music Systems, Demiurge Studios",0.82,75.5,6.45,1
Prope,0.82,67.0,6.43,4
Smilebit,0.82,82.8,7.92,5
Artech Studios,0.82,56.83,7.13,5
Gevo Entertainment,0.81,71.0,7.5,1
Cerasus Media,0.81,68.33,7.5,3
"Red Storm Entertainment, Ubisoft Montreal",0.81,72.0,7.1,1
Bec,0.8,49.8,6.94,5
"Team 17, Two Tribes",0.79,80.5,8.6,1
"Sumo Digital, Playground Games",0.78,71.0,5.1,1
Trilobyte,0.78,71.0,7.5,1
"Machatin, Inc.",0.78,60.0,7.4,2
Zombie Studios,0.78,52.5,6.08,2
"Artificial Mind And Movement, Polygon Magic",0.77,69.0,7.5,1
Magenta Software,0.77,58.25,6.67,3
"Omega Force, Koei Tecmo Games",0.77,70.0,8.05,2
"City Interactive, Deck 13",0.77,70.67,6.73,1
Teyon,0.77,53.75,6.15,3
Ai,0.77,62.25,6.55,4
Smack Down Productions,0.77,65.25,5.83,2
"Lucasarts, Red Fly Studio",0.76,71.0,7.8,1
Valusoft,0.76,65.0,7.42,5
Ufo Interactive,0.76,71.0,7.5,11
Kcea,0.75,67.25,7.5,3
Scea Sports Studio,0.75,67.5,5.85,1
Humagade,0.75,48.5,7.5,2
"Rovio Mobile, Rovio Entertainment",0.75,67.75,5.5,3
Cunning Developments,0.74,63.0,7.15,2
Epicenter Studios,0.74,53.33,6.83,2
Wbie,0.74,69.5,7.1,1
Razorworks,0.74,51.75,7.2,3
Phoenix Games Studio,0.74,66.0,7.13,3
"Treyarch, Shaba Games",0.74,62.75,6.67,1
Handheld Games,0.74,68.67,8.08,6
Frogwares,0.74,63.86,7.34,4
Bits Studios,0.74,61.57,7.6,4
Dearsoft,0.73,64.0,8.7,1
Magicwand,0.73,71.0,8.37,3
Coldwood Interactive,0.73,63.33,7.5,2
Blade Interactive,0.73,54.83,7.15,3
Blue Tongue,0.73,55.0,5.9,2
"Idea Factory, Compile Heart",0.73,52.0,7.33,3
Psyonix,0.73,78.25,8.18,2
Gas Powered Games,0.73,77.86,7.41,6
Blue Shift,0.73,68.0,7.96,3
Realism Ltd,0.72,82.0,8.6,1
Studio Gigante,0.72,60.5,6.7,2
Saber Interactive,0.72,63.17,6.73,2
Victor Interactive Software,0.72,79.0,9.05,2
Cattle Call,0.72,67.25,6.85,4
Ion Storm,0.72,84.25,8.28,4
Ignition Entertainment,0.72,75.8,7.44,4
"Zoe Mode, Hb Studios Multimedia",0.72,49.25,6.5,1
Equinoxe,0.71,48.0,5.1,1
"Id Software, Nerve Software",0.71,77.0,7.9,1
Tantatus,0.71,56.25,7.53,3
"Eighting, Genius Sonority Inc.",0.7,65.0,5.9,1
"Scea, Sims",0.7,66.0,6.4,1
Disney Interactive,0.7,66.5,7.38,4
Hypnos Entertainment,0.69,84.0,8.5,1
Armature Studio,0.69,64.5,6.8,1
Attention To Detail,0.69,61.67,6.92,5
Game Machine Studios,0.68,71.0,7.0,2
Human Head Studios,0.68,61.0,7.6,3
"Bioware, Demiurge Studios",0.67,89.0,8.6,1
"Red Entertainment, Artdink",0.67,68.0,7.1,1
Delphine Software International,0.67,72.0,7.9,2
Wideload Games Inc.,0.67,64.0,6.67,3
Cyberlore Studios,0.67,60.0,6.8,2
Irem,0.67,66.57,7.56,7
Lab Rats Games,0.66,51.0,7.15,1
Crawfish Interactive,0.66,68.4,7.56,5
Cauldron Ltd.,0.66,59.86,6.47,4
Deep Silver,0.66,64.3,6.33,6
"Dimps Corporation, Sce Japan Studio",0.65,73.0,8.3,1
"Krome Studios, Screenlife Games",0.65,76.0,7.4,1
Q-Games,0.65,81.0,7.6,2
Computer Artworks,0.64,78.0,7.0,1
Brash Entertainment,0.64,62.75,7.38,2
Sce Studio Cambridge,0.64,62.33,7.27,3
Oxygen Interactive,0.64,61.62,7.24,7
Vivarium,0.63,72.0,8.2,2
Kuusou Kagaku,0.63,65.5,8.5,2
Gusto Games,0.63,65.6,6.82,4
"Media Vision, Contrail",0.62,78.0,8.4,1
Scs Software,0.62,75.0,8.15,2
Lucky Chicken,0.62,57.4,5.86,4
Monumental Games,0.62,69.75,6.17,2
Vanilla Ware,0.61,81.0,8.25,2
Kceo,0.61,55.86,7.14,7
"Bandai Namco Games, Artdink",0.61,66.5,6.7,1
Hothouse Creations,0.6,35.5,4.1,2
"Jellyvision, Iron Galaxy Studios",0.6,81.67,7.63,1
Dreamworks Games,0.59,80.0,7.9,1
"Ritual Entertainment, Avalanche Software",0.59,40.0,6.05,1
Backbone Vancouver,0.59,60.67,7.5,1
Beyond Games,0.58,54.5,6.75,1
Telegames,0.58,71.0,8.35,2
Lightning Fish Games,0.58,68.6,7.16,2
Polygon Magic,0.58,63.5,7.55,4
Gratuitous Games,0.58,73.33,7.27,2
Pseudo Interactive,0.58,67.25,7.65,3
Bunkasha Publishing,0.57,74.0,5.2,1
Itl,0.57,79.5,8.35,2
"Ea Canada, Ea Vancouver",0.57,77.5,4.9,1
Artdink,0.57,61.8,6.58,3
"Cyanide, Cyanide Studios",0.57,54.33,5.73,1
Aq Interactive,0.57,68.0,7.2,3
"Namco Bandai Games, Bandai Namco Games",0.56,71.0,8.0,1
Awesome Studios,0.56,75.0,6.6,1
"Farsight Studios, Crave",0.56,57.5,7.5,1
Toybox,0.56,58.0,6.47,2
Feelplus,0.56,49.5,3.95,3
Hydravision,0.56,56.0,7.23,3
Deep Space,0.55,67.0,7.8,1
Nuevo Retro Games,0.55,67.0,6.8,1
Jaleco Entertainment,0.55,59.0,6.24,5
War Drum Studios,0.54,67.5,8.1,2
Impulse Games,0.54,58.0,7.53,2
Jack Of All Games,0.54,64.14,7.5,5
"High Voltage Software, Ubisoft Paris",0.53,61.0,6.4,1
Raster,0.53,66.0,8.0,1
"Scholastic, Inc.",0.53,71.0,7.5,2
Noise Inc.,0.53,69.5,8.2,2
Deep Silver Dambuster Studios,0.53,50.33,3.8,1
"Mercury Steam, Alchemic Productions",0.53,62.0,7.33,1
Starfish Sd,0.53,71.0,7.5,5
Smart Bomb Interactive,0.52,60.0,7.62,3
Majesco Games,0.52,71.0,7.5,2
Examu,0.52,73.25,7.72,3
5Pb,0.52,73.29,8.29,5
Eko Software,0.52,65.0,6.23,5
Hudson Entertainment,0.52,62.0,7.56,5
Hexadrive,0.51,71.0,6.1,1
"Jupiter Corporation, Jupiter Multimedia",0.51,70.0,7.7,1
"Factor 5, Sce/Wws",0.51,53.0,6.4,1
"Sce Japan Studio, Comcept",0.51,77.0,8.2,1
Knowledge Adventure Inc.,0.51,69.5,7.5,2
Sennari Interactive,0.51,56.0,7.05,2
Swordfish Studios,0.51,72.0,7.27,2
Contraband Entertainment,0.5,75.0,7.7,1
Quest,0.5,88.0,9.1,1
Handmade Game,0.5,56.0,7.5,1
Creations,0.5,48.5,7.5,2
Furyu,0.5,67.2,7.6,3
Coyote Console,0.5,65.29,6.9,5
Volatile Games,0.49,60.5,6.45,1
Iwin,0.49,70.0,7.5,3
Revolution Software,0.49,69.29,7.66,6
Larian Studios,0.49,73.0,7.78,4
Super X Studios,0.49,62.0,7.7,2
"Harmonix Music Systems, Backbone Entertainment",0.48,79.0,8.6,1
"Screenlife Games, Wxp",0.48,73.0,8.1,1
Inland Productions,0.48,51.0,6.4,1
Sscholastic Media,0.48,54.0,5.5,1
Cave,0.48,70.5,7.67,4
New,0.47,75.0,8.0,1
"Ubisoft Barcelona, Ubisoft Reflections",0.47,41.0,4.2,1
"Eurocom Entertainment Software, Visceral Games",0.47,82.0,8.1,1
Phantagram,0.47,79.5,7.7,2
"Nintendo, Headstrong Games",0.46,81.0,7.6,1
Vatra,0.46,64.0,6.9,1
Wizarbox,0.46,68.33,7.32,3
"Activision, Freestylegames",0.46,77.5,5.6,1
Stainless Games,0.46,61.8,6.72,3
Zootfly,0.46,41.0,4.25,1
Ir Gurus,0.45,65.75,7.2,2
Sims,0.45,71.0,7.5,2
K2,0.45,56.33,6.57,3
Gungho,0.45,53.33,6.37,3
Big Ant Studios,0.45,70.12,7.39,4
"Nintendo, Camelot Software Planning",0.44,58.0,5.3,1
"Square Enix, Tose",0.44,83.0,7.6,1
Amuze,0.44,65.0,7.1,2
Mucky Foot Productions,0.44,51.0,5.05,1
Magellan Interactive,0.44,69.6,7.54,5
Tenyo,0.43,69.0,7.5,1
Kamui,0.43,51.0,8.1,1
Sunrise Interactive,0.43,71.0,8.8,1
Zen Studios,0.43,57.5,6.75,2
Empire Interactive,0.43,56.5,6.88,4
Jet Black Games,0.43,60.0,7.5,2
Phoenix Interactive Entertainment,0.43,71.0,7.5,2
Fall Line Studio,0.43,61.5,7.5,2
"Nintendo, Intelligent Systems",0.42,75.0,6.8,1
Bluehole Studio,0.42,77.0,6.8,1
Nadeo,0.42,78.67,7.47,1
Sunsoft,0.42,68.0,6.45,2
Circus Freak,0.42,57.5,6.75,2
Hitmaker,0.42,73.75,7.95,4
Rfx Interactive,0.42,69.67,7.33,3
Firefly Studios,0.42,61.0,6.16,5
Frontline Studios,0.42,45.2,5.82,5
Maximum Games,0.41,69.0,8.7,1
2Xl Games,0.41,63.0,6.05,1
Santa Cruz Games,0.41,56.33,6.93,3
Kemco,0.41,56.33,5.57,5
Renegade Kid,0.41,72.25,7.78,4
Cyanide,0.41,62.67,6.06,7
System 3,0.41,61.57,6.6,6
Twisted Pixel Games,0.4,77.0,8.1,1
Sanuk Games,0.4,71.0,7.5,2
Mitchell,0.4,70.5,8.25,2
Classic Media Distribution Limited,0.4,71.0,8.2,1
Funcom,0.4,78.2,8.36,5
"Frogwares, Mistic Software",0.39,57.0,3.1,1
"Monolith Soft, Banpresto",0.39,70.0,7.3,1
Climax Entertainment,0.39,64.33,7.67,3
Gunnar Games,0.39,71.0,7.5,2
Red Zone Entertainment,0.38,51.0,4.6,1
Uacari,0.38,71.0,7.5,1
Graphic State,0.38,57.67,6.97,3
Metro,0.38,72.5,8.6,2
Nautilus,0.38,80.5,8.65,2
Beyond Reality,0.38,55.5,7.5,2
Panic Button,0.38,51.5,4.72,4
Crafts & Meister,0.37,72.0,5.8,1
Open Sesame,0.37,71.0,7.8,1
Blueside,0.37,55.0,5.9,1
Playbox Limited,0.37,71.0,7.5,1
"Rocksteady Studios, Virtuos",0.37,75.0,8.35,1
Mobius Entertainment,0.37,73.25,6.9,4
Cranky Pants Games,0.37,71.25,7.7,3
Vivendi Games,0.37,67.0,7.6,1
Coyote Developments,0.37,56.33,6.27,2
Namco Bandai Games America,0.37,63.25,7.38,4
Lexis Numerique,0.37,67.0,7.5,3
Nordic Games Publishing,0.37,68.62,6.84,6
Legacy Interactive,0.37,70.71,7.43,7
Microids,0.37,69.9,7.44,7
Pax Softonica,0.36,72.0,9.3,1
Zener Works,0.36,70.0,8.5,1
"Red Entertainment, Spike Chunsoft",0.36,57.0,4.8,1
"Gamemill Publishing, 1St Playable Productions",0.36,71.0,7.5,2
Ivory Tower,0.36,70.75,6.8,2
Gaming Minds Studios,0.36,64.0,6.53,3
N-Fusion Interactive Entertainment Corp.,0.36,71.0,6.97,3
Razorback Developments,0.36,60.4,7.5,5
Vir2L Studios,0.35,71.0,1.1,1
Wildtangent,0.35,49.0,7.5,1
Nobilis,0.35,71.0,7.5,2
Simon & Schuster,0.35,60.0,7.2,2
Aspyr,0.35,71.0,7.54,5
Naturalmotion,0.35,56.0,7.3,1
Kylotonn,0.35,46.33,5.13,1
Winkysoft,0.35,59.33,7.77,3
Taniko,0.35,50.33,6.23,3
Daedalic Entertainment,0.35,74.75,7.8,4
Buena Vista Interactive,0.34,47.0,6.8,1
Cohort Studios,0.34,60.0,6.2,1
"Ubisoft, Powerhead Games",0.34,71.0,7.5,1
Presto Studios,0.34,56.0,7.25,1
Widescreen Games,0.34,44.0,6.8,3
Software Creations,0.34,78.0,8.25,2
"Playlogic, The Game Factory",0.34,52.0,6.1,1
Idea Factory,0.34,67.0,7.6,5
Fizz Factor,0.33,71.0,7.5,1
"Amaze Entertainment, Griptonite Games",0.33,58.0,7.5,1
"Lancarse, Atlus",0.33,75.0,8.5,1
"Capcom, Klein Computer Entertainment",0.33,75.0,7.5,1
Amble,0.33,62.5,7.5,2
"Tecmo, Ntreev Soft",0.33,71.0,7.65,2
Career Soft,0.33,70.5,7.8,2
Seta Corporation,0.33,66.5,8.65,2
Darkworks,0.33,72.0,7.8,2
Croteam,0.33,76.2,7.7,4
"Buzz Monkey, Ea Montreal",0.32,49.0,6.0,1
"Atlus, Dingo Inc.",0.32,76.0,8.6,1
"Game Republic, Japanstudio",0.32,75.0,8.2,1
Codefire,0.32,60.0,7.5,1
Activision Value,0.32,53.33,8.07,3
Griffin International,0.32,71.0,7.5,1
"Microprose, N-Space",0.32,71.0,7.5,2
Spellbound,0.32,69.5,6.28,3
The Game Factory,0.32,60.0,7.43,3
Bohemia Interactive,0.32,71.25,7.48,4
Yacht Club Games,0.32,89.33,8.03,1
Dtp Entertainment,0.32,68.71,7.26,5
Big Red Button Entertainment,0.31,32.0,3.6,1
Wildfire Studios,0.31,26.0,3.8,1
"Inti, Inti Creates",0.31,78.0,8.9,1
Magix,0.31,71.0,7.5,1
Denyu-Sha,0.31,71.0,7.5,1
Ronin Entertainment,0.31,32.0,2.4,1
Shade,0.31,54.0,5.8,1
Akella,0.31,60.5,6.4,2
Wargaming.Net,0.31,74.5,5.5,2
Timegate Studios,0.31,67.33,7.2,2
Experience Inc.,0.31,69.0,7.57,3
Egames,0.31,71.0,7.5,1
Prolific,0.3,27.0,8.9,1
Sinister Games,0.3,53.0,7.5,1
"Banpresto, Softmax",0.3,69.0,7.0,1
Mahou,0.3,71.0,7.5,1
Hyperspace Cowgirls,0.3,46.0,7.5,1
Related Designs,0.3,79.0,8.3,1
Banpresto,0.3,69.5,7.5,2
Ccp,0.3,71.0,6.9,2
Nordcurrent,0.3,52.67,7.5,3
Games Farm,0.3,59.0,7.13,1
Interchannel,0.3,39.5,5.0,2
Deck 13,0.3,50.0,6.87,1
Outrage Games,0.3,66.0,6.77,2
Koolhaus Games,0.3,71.0,5.47,2
The Workshop,0.29,70.0,7.3,1
"Neversoft Entertainment, Underground Development",0.29,57.0,5.8,1
Doubletap Games,0.29,71.0,7.5,1
Lightbox Interactive,0.29,77.0,7.8,1
Game Brains,0.29,71.0,7.5,1
Game Titan,0.29,72.0,5.7,1
Digital Fiction,0.29,66.0,8.0,2
Her Interactive,0.29,67.67,7.5,3
Ubisoft Bulgaria,0.29,61.67,7.07,2
Two Tribes,0.29,63.0,7.5,2
Million,0.29,71.5,7.95,4
Flight-Plan,0.29,71.67,7.83,3
Sacnoth,0.28,73.0,8.8,1
Just Add Monsters,0.28,68.0,8.5,1
Zindagi Games,0.28,61.0,6.5,1
Zoom,0.28,65.0,4.9,1
Sega Toys,0.28,71.0,7.5,1
"Mac Play, Macplay",0.28,71.0,7.5,2
Stealth Studios,0.28,59.0,7.5,1
Kodiak Interactive,0.28,53.5,6.25,2
Spiders,0.28,60.33,6.67,2
Gogii Games,0.28,71.0,7.5,2
"Disney Interactive Studios, Land Ho!",0.28,71.0,7.5,1
Liquid Entertainment,0.28,38.5,5.05,1
Cosmigo,0.28,79.33,7.77,3
Other Ocean Interactive,0.28,63.2,7.4,5
Kadokawa,0.28,66.2,7.38,2
Success,0.28,64.5,7.43,6
Ornith,0.27,65.0,7.5,1
"Rockstar Toronto, Rockstar Leeds",0.27,81.0,7.8,1
The Learning Company,0.27,71.0,7.5,1
Tornado Studios,0.27,71.0,7.5,2
Mad Catz,0.27,45.5,6.15,2
Zono Inc.,0.27,65.0,8.05,1
Buena Vista Games,0.27,63.5,6.9,1
Mad Doc Software,0.27,62.25,4.85,3
Swingin' Ape,0.27,82.5,9.0,1
Thq Australia,0.27,38.0,4.25,1
Zerodiv,0.27,61.67,6.8,3
Studio 33,0.27,63.0,7.55,2
Loose Cannon Studios,0.27,67.33,7.93,1
Little Orbit,0.27,67.67,7.12,3
Pacific Century Cyber Works,0.26,46.0,8.4,1
"Ldw, Big Fish Games",0.26,46.0,7.0,1
Prokion,0.26,67.0,8.4,1
2K Shanghai,0.26,55.0,7.5,1
Crispy'S,0.26,74.0,8.4,1
Sony Interactive Entertainment,0.26,62.5,6.65,2
Onenine Studios,0.26,65.5,7.5,2
Simbin,0.26,74.4,7.84,5
Microvision,0.26,63.0,6.9,3
Seven45 Studios,0.26,36.0,1.3,1
Snk,0.26,70.25,7.25,4
Rising Star Games,0.26,67.5,7.3,6
2015,0.25,73.0,8.0,1
Southend Interactive,0.25,74.0,8.3,1
Amaze,0.25,63.0,7.8,1
Y'S K,0.25,71.0,7.5,1
Bongfish,0.25,70.0,8.15,2
Bottlerocket Entertainment,0.25,63.5,7.75,2
Ubisoft Nagoya,0.25,71.0,7.5,2
"Io Interactive, Nixxes Software",0.24,79.0,7.0,1
"Tamsoft, D3Publisher",0.24,57.0,6.5,1
Metro Graphics,0.24,63.0,4.8,1
"Matrix Software, Marvelous Entertainment",0.24,71.0,7.4,1
Hasbro Interactive,0.24,71.0,8.0,1
Alpha Unit,0.24,65.33,6.83,3
Game Sauce,0.24,72.0,6.6,2
"Atari, Atari Sa",0.24,63.67,7.5,4
Curious Pictures,0.24,71.0,5.5,1
Graffiti Entertainment,0.24,71.0,7.5,3
Trickstar Games,0.24,44.67,3.57,1
Raylight Studios,0.24,63.6,7.66,5
Isopod Labs,0.24,67.67,7.7,1
Blueshift,0.23,85.0,8.8,1
Solworks,0.23,78.0,7.5,1
Magic Pixel Games,0.23,66.0,5.2,1
Sanrio Digital,0.23,71.0,7.5,1
"Hudson, Natsume Atari Inc.",0.23,41.0,7.5,1
Studio Saizensen,0.23,70.5,7.65,2
Lost Toys,0.23,72.33,7.27,2
Broadsword Interactive,0.23,54.33,5.73,3
Re-Logic,0.23,77.0,7.8,1
Gaijin Games,0.23,79.5,8.25,2
Dsi Games,0.23,71.0,7.5,3
Moss,0.23,66.0,7.33,3
Empire Oxford,0.23,62.5,7.5,3
O-Games,0.23,71.0,7.5,3
Alphadream Corporation,0.22,77.0,7.8,1
Tecmo Koei Games,0.22,54.0,6.1,1
"Aspect, Takara Tomy",0.22,49.0,7.5,1
Secret Stash Games,0.22,56.0,5.6,1
Softmax,0.22,66.0,7.0,1
Bit Town,0.22,59.0,7.5,1
Phoenix Entertainment,0.22,71.0,7.5,1
Ubisoft Sao Paulo,0.22,71.0,7.5,1
Rhino Studios,0.22,63.0,6.2,1
Mix Max,0.22,79.0,7.0,1
Guildford Studio,0.22,51.5,4.1,1
Hit Maker,0.22,53.33,5.83,3
Masa Group,0.21,47.0,7.4,1
Thatgamecompany,0.21,92.0,8.8,1
Creative Patterns,0.21,71.0,7.5,1
Osiris Studios,0.21,26.0,4.0,1
"Deep Silver, Sproing Interactive Media, Sproing",0.21,67.0,7.6,1
Sun-Tec,0.21,82.0,7.8,1
Gimagin Games,0.21,71.0,7.5,1
Epics,0.21,58.0,5.85,2
Deep Fried Entertainment,0.21,65.0,7.25,2
Frima Studio,0.21,68.0,7.65,2
Petroglyph,0.21,72.75,8.2,4
"Namco Bandai Games, Monkey Bar Games",0.21,52.67,4.9,1
"Sanzaru Games, Sanzaru Games, Inc.",0.2,73.0,7.4,1
"Scea, Think And Feel",0.2,63.0,7.3,1
Ubisoft Annecy,0.2,52.0,7.0,1
"Omega Force, Koei Canada",0.2,62.0,6.6,1
"Sega, Tom Create",0.2,59.0,8.0,1
Merscom Llc,0.2,71.0,7.5,1
Firehazard Studio,0.2,57.0,7.5,2
Tommo,0.2,71.0,7.5,2
Westwood Studios,0.2,73.0,7.7,1
Colossal Order,0.2,75.67,7.9,3
Top Heavy Studios,0.2,47.5,6.05,1
Slam Games,0.2,71.0,7.5,1
Kung Fu Factory,0.2,48.0,6.35,1
"Funatics Software, Funatics",0.2,68.5,5.85,1
Digital Embryo,0.2,63.0,6.8,2
Beeworks,0.2,63.5,7.15,2
Zed Two Limited,0.2,67.67,7.0,2
Digital Mayhem,0.2,64.0,7.7,2
Global A,0.2,65.67,7.13,3
Frame Studios Interactive,0.2,71.0,7.5,5
Gcp1,0.19,63.0,5.9,1
Pixel Tales,0.19,71.0,7.5,1
Magic Rings,0.19,79.0,7.8,1
"Artificial Mind And Movement, Ea Redwood Shores",0.19,70.0,8.1,1
Skip Ltd.,0.19,78.0,7.5,1
Sme Dynamic Systems Limited,0.19,71.0,3.0,1
Cinemaware,0.19,59.0,5.6,1
"Ubisoft, Ludia Inc.",0.19,71.0,7.5,1
Tecmo Koei Canada,0.19,44.0,7.0,1
Independent Arts,0.19,71.0,7.5,1
Backbone Emeryville,0.19,73.0,7.5,2
Asylum Entertainment,0.19,71.0,7.5,1
The Fun Pimps Entertainment Llc,0.19,40.0,5.55,1
Tripwire Interactive,0.19,76.0,7.65,2
Platinum Egg,0.19,46.5,6.85,2
Most Wanted Entertainment,0.19,72.67,7.5,3
Workjam,0.19,60.0,7.67,3
Micro Cabin,0.19,64.67,8.3,3
Various,0.19,71.0,8.2,5
King Art,0.19,71.75,7.85,3
The Behemoth,0.19,78.0,8.4,1
"Neverland, Idea Factory",0.19,56.5,7.38,4
Paradox Development Studio,0.19,75.8,7.5,5
Gsc Game World,0.19,77.75,8.35,4
Escape,0.18,55.0,7.5,1
Kronos Digital Entertainment,0.18,84.0,8.9,1
Performance Designed Products,0.18,59.0,7.5,1
"Gust, Idea Factory",0.18,62.0,7.2,1
"Eighting, Takara Tomy",0.18,38.0,3.0,1
Bitmap Brothers,0.18,60.0,7.5,1
"Replay Studios, Ml Enterprises",0.18,56.0,7.1,1
Game Life,0.18,59.0,7.5,2
Supersonic Software,0.18,54.2,6.96,4
Scientifically Proven,0.18,71.0,6.05,1
Icon Games,0.18,66.33,6.77,3
